,posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz
10111,62.732,81.915,133.709,-7.5421183231030975,-39.66958338774943,15.214836097688654,0.03194277413938209,0.012916618117494163,0.9910372805423816,-6.75,61.2,-1.63,-3.45,-1.84,-103.86,109.43851238090812,125.07451067945291,156.0491539312898,89.26273331881023,93.74165103367062,29.03878793067901
10112,62.75100000000001,81.30199999999998,134.039,0.6191748680179349,-19.976536531317198,10.754089812943494,0.03194277413938209,0.012916618117494163,0.9910372805423816,-6.75,61.2,-1.63,-3.45,-1.84,-103.86,110.30543642113695,125.61364921394606,156.11172620026267,93.91866358398252,90.91866411639086,31.12881740430769
10113,66.518,90.478,132.974,119.4053505768988,200.0,-33.75808292126277,0.03194277413938209,0.012916618117494163,0.9910372805423816,-6.75,61.2,-1.63,-3.45,-1.84,-103.86,111.59324794865441,126.41440210495227,156.19999583181533,33.58031219214865,-63.57984869522493,53.76385792923952
10114,67.199,92.489,133.032,5.9706988610957445,17.63153510963825,0.5085176709892523,0.029264534542884014,-0.027732893786849688,0.9908325770647176,7.91,31.84,0.3,-3.37,-3.05,-99.76,114.9523209788391,128.50262793577772,156.40257503554673,115.14380938954795,57.69978332155264,38.86049086178
10115,68.195,91.963,133.657,28.997321532549066,-15.313846512169864,18.19611039944101,0.03618185664975546,-0.02323870166715471,0.9907636632509677,-0.46,-7.65,0.76,-2.13,-1.67,-95.35,116.18328979693315,129.26786719413386,156.46623331758468,78.86614725259597,77.93723037013231,27.390370539176736
10116,67.555,89.34299999999998,134.078,-18.24401368300987,-74.68643101482299,12.001140250854965,0.03618185664975546,-0.02323870166715471,0.9907636632509677,-0.46,-7.65,0.76,-2.13,-1.67,-95.35,117.39833217502287,130.0232776989225,156.52317479463125,106.07966718613173,114.49919355913781,29.778046583269628
10117,67.574,88.141,133.857,0.5671133928302315,-35.877384114855325,-6.596424200817946,0.03618185664975546,-0.02323870166715471,0.9907636632509677,-0.46,-7.65,0.76,-2.13,-1.67,-95.35,118.59727095092708,130.76879960952763,156.57339807921556,97.80561703151884,96.13847404603537,39.73309425313329
10118,68.329,89.83200000000002,134.145,14.159524390015106,31.713583766245733,5.401249038840437,0.02711356461506889,-0.06733497631936979,0.9907788483064814,-7.1,42.24,-1.12,-2.71,-3.27,-104.34,120.17050427893051,131.74734467833576,156.62991012584968,93.66466163797243,55.1202671771093,31.82898959709549
10119,70.391,95.508,134.53,58.910919376036,162.16216216216222,10.999371464487483,0.02711356461506889,-0.06733497631936979,0.9907788483064814,-7.1,42.24,-1.12,-2.71,-3.27,-104.34,121.71439123001707,132.70806759276448,156.67447516687167,72.8060284974253,-12.325050162928598,29.66030162731909
10120,72.141,102.048,132.339,52.868493398990964,197.5771124739436,-66.19135373553678,0.03358779252734128,-0.0569807138393455,0.9908370393169164,11.54,-50.67,0.65,-2.42,-2.84,-102.74,122.85280723938743,133.41683269624434,156.70005827375402,64.18690259212286,-42.11554755929983,71.36667746420521
10121,69.929,95.838,134.987,-67.97578439507093,-190.83617590117103,81.37426631019319,0.03358779252734128,-0.0569807138393455,0.9908370393169164,11.54,-50.67,0.65,-2.42,-2.84,-102.74,123.60237366513374,133.8837034624312,156.7133800368191,134.3547318886173,163.41175447251396,-5.2930423861180165
10122,71.029,93.571,134.379,32.813292366434816,-67.62521254064362,-18.13680159890237,0.03358779252734128,-0.0569807138393455,0.9908370393169164,11.54,-50.67,0.65,-2.42,-2.84,-102.74,124.71253581960924,134.57550972412386,156.7277624681517,84.43558355391869,108.75917419226455,44.42329354498665
10123,71.42699999999998,92.462,133.59799999999998,11.023403960670557,-30.7159673175459,-21.631352998199073,0.03980863990733821,-0.01243578471511908,0.9910245951296562,-1.81,-6.02,0.93,-1.79,-0.42,-93.83,125.80552974490796,135.25706769107785,156.73542519761537,95.79920057898649,94.046625779302,48.15569850221133
10124,71.645,91.564,133.408,6.684450985802879,-27.535032042437376,-5.825897648177907,0.03980863990733821,-0.01243578471511908,0.9910245951296562,-1.81,-6.02,0.93,-1.79,-0.42,-93.83,126.88119665578657,135.92832366041492,156.7363691355715,99.58583241276422,93.19082768690714,39.4896986121895
10125,72.1,90.97,133.33700000000002,13.787878787878736,-17.999999999999822,-2.1515151515150888,0.03980863990733821,-0.01243578471511908,0.9910245951296562,-1.81,-6.02,0.93,-1.79,-0.42,-93.83,127.93938037296252,136.5892247846403,156.73059550543962,96.71558294319068,90.44569977526623,37.70634049156262
10126,72.056,92.009,134.28799999999998,-1.2974375608172952,30.637218765665132,28.04234364403096,0.039845143544760125,0.0018489842515203468,0.9909657826356348,-3.11,-48.03,-0.25,-2.18,-2.53,-103.92,128.97992734592188,137.239719075851,156.718105843584,105.63877052748751,65.18464331724687,20.762921246591734
10127,73.222,95.707,134.592,34.74374255065545,110.19070321811657,9.058402860548332,0.039845143544760125,0.0018489842515203468,0.9909657826356348,-3.11,-48.03,-0.25,-2.18,-2.53,-103.92,130.00268667531654,137.87975540986105,156.69890199918447,86.9970680211669,20.34177100363248,29.85977847272666
10128,74.094,97.699,134.658,20.724896019013666,47.34402852049922,1.5686274509797755,0.039845143544760125,0.0018489842515203468,0.9909657826356348,-3.11,-48.03,-0.25,-2.18,-2.53,-103.92,131.33844030773278,138.7167825176636,156.66285637091124,91.34656280660366,43.635066948398354,33.184790254156376
10129,74.702,93.344,134.558,17.919773644964604,-128.35627339444144,-2.947331191605833,0.030372456797465495,0.05171846666886837,0.9911543217618668,-8.89,-49.1,0.19,-4.11,-0.93,-100.33,131.99425219344278,139.12825405237598,156.64036072267592,95.62996682088831,146.49083669405522,35.679925163343114
10130,75.65899999999998,93.229,135.27100000000002,28.16859951727816,-3.384941425796047,20.98663683993624,0.030372456797465495,0.05171846666886837,0.9911543217618668,-8.89,-49.1,0.19,-4.11,-0.93,-100.33,132.96277003528206,139.73661846723445,156.60102855163947,90.13968658298201,83.86742721643508,22.203162260527357
