posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz,tangx,tangy,tangz,tgyrx,tgyry,tgryz,taccx,taccy,taccz
75.615,137.321,114.092,-44.24187177149812,-13.096323305986374,0.2127013065938925,-0.010990248972972514,-0.01958028450410016,-0.05899120223089316,11.02,-9.59,0.38,-1.03,1.24,-98.6,38.884497589275966,121.86328821500294,131.0934940454962,-68.02128683461217,-32.79582825505719,39.21161854627093,0.0,0.0,-0.05899120223089316,0.0,0.0,0.0,0.0,0.0,-98.6
73.974,136.855,114.085,-44.77367602521053,-12.714523478213641,-0.19099069602480154,-0.0010312075155865588,-0.0038579896992203305,-0.05958378339997359,11.78,-6.76,-2.74,1.71,2.52,-97.47,37.69130234711319,121.26168027161086,131.49062125418632,-64.3970160321,-32.59702581852381,40.17692578855733,0.0,0.0,-0.05958378339997359,0.0,0.0,0.0,0.0,0.0,-97.47
72.391,136.496,114.039,-47.29043436697134,-10.724741590487557,-1.3742008723185837,-0.0010312075155865588,-0.0038579896992203305,-0.05958378339997359,11.78,-6.76,-2.74,1.71,2.52,-97.47,36.49629028853481,120.65606691974531,131.88528828194822,-64.53381191314747,-34.74546911528264,41.58873044904686,0.0,0.0,-0.05958378339997359,0.0,0.0,0.0,0.0,0.0,-97.47
71.155,135.674,114.174,-19.054079052845847,-12.671887525436313,2.081149411111875,0.012083757540770765,-0.00123846073418399,-0.06126570254607651,15.67,-2.6,-3.0,-0.32,1.32,-107.73,34.101129453446134,119.43291134206329,132.66720987669004,-90.01299879757563,-37.84986743478624,45.95051527943964,0.0,0.0,-0.06126570254607651,0.0,0.0,0.0,0.0,0.0,-107.73
69.685,135.23,114.047,-42.86839112303516,-12.948003849407039,-3.7035956956638634,0.012083757540770765,-0.00123846073418399,-0.06126570254607651,15.67,-2.6,-3.0,-0.32,1.32,-107.73,32.90113782257694,118.81541314971629,133.0544486097844,-68.0462443307871,-34.775063111760794,44.968180271593035,0.0,0.0,-0.06126570254607651,0.0,0.0,0.0,0.0,0.0,-107.73
68.567,135.038,113.977,-34.969190829189245,-6.005442432203524,-2.1894842200742293,0.012083757540770765,-0.00123846073418399,-0.06126570254607651,15.67,-2.6,-3.0,-0.32,1.32,-107.73,31.699643656272446,118.19399761424796,133.4391954944994,-73.51243092827335,-39.45547770809928,44.96710643994347,0.0,0.0,-0.06126570254607651,0.0,0.0,0.0,0.0,0.0,-107.73
66.887,134.08,113.826,-49.250974758875216,-28.084782035120586,-4.426724517018277,0.019866183685026136,0.004366767668959177,-0.062328423249275476,1.56,-5.66,-1.78,0.06,3.31,-102.27,30.4967257841297,117.56868710655044,133.82144273972438,-64.16870554524701,-27.371830886623982,47.18977644823477,0.0,0.0,-0.062328423249275476,0.0,0.0,0.0,0.0,0.0,-102.27
65.702,133.684,113.689,-46.476056006589104,-15.531238969291094,-5.373181158567693,0.019866183685026136,0.004366767668959177,-0.062328423249275476,1.56,-5.66,-1.78,0.06,3.31,-102.27,29.292463129163,116.93950413773378,134.2011826049645,-71.65163209134107,-36.31695642229153,47.954975884332086,0.0,0.0,-0.062328423249275476,0.0,0.0,0.0,0.0,0.0,-102.27
64.445,133.14,113.599,-18.125189254661144,-7.844155095096122,-1.297746247350279,0.019640280548589246,-0.0007988060070288209,-0.0629229618152115,-7.41,17.2,-0.66,-0.89,0.94,-97.25,26.880219598759282,115.66961155741511,134.95310948754542,-90.95562254248743,-45.130350052246214,54.48295783430283,0.0,0.0,-0.0629229618152115,0.0,0.0,0.0,0.0,0.0,-97.25
63.467,133.121,113.356,-28.8350974437596,-0.5601910546326926,-7.164548751363894,0.019640280548589246,-0.0007988060070288209,-0.0629229618152115,-7.41,17.2,-0.66,-0.89,0.94,-97.25,25.672396989754965,115.02894766190815,135.32528127839197,-77.5247610351451,-44.785381015264804,52.28736816834667,0.0,0.0,-0.0629229618152115,0.0,0.0,0.0,0.0,0.0,-97.25
